Zipcode,Population,Median Age,Household Income,Per Capita Income
45506,13438.0,38.1,32920.0,19053.0
45601,56783.0,40.4,43460.0,21112.0
45612,5479.0,45.3,37368.0,19116.0
45613,3861.0,32.7,44811.0,16771.0
45614,4970.0,44.8,44902.0,22925.0
45616,1409.0,38.8,27174.0,13588.0
45618,10.0,46.0,38750.0,37160.0
45619,8096.0,38.9,41221.0,20105.0
45620,1290.0,43.0,33824.0,17608.0
45621,395.0,30.9,31875.0,16232.0
45623,3145.0,36.7,39667.0,19299.0
45628,4456.0,43.5,45725.0,22945.0
45629,3444.0,39.8,39607.0,19136.0
45630,199.0,51.6,58125.0,12270.0
45631,14875.0,43.0,39000.0,24223.0
45634,1961.0,41.6,31964.0,15528.0
45638,21507.0,40.9,36614.0,19821.0
45640,16114.0,39.6,40286.0,21239.0
45644,4458.0,41.7,55167.0,28404.0
45645,3286.0,42.9,44058.0,21355.0
45647,2243.0,45.0,50625.0,20140.0
45648,12650.0,40.9,36517.0,19429.0
45650,257.0,59.8,39375.0,22651.0
45651,6038.0,38.5,42390.0,19479.0
45652,3996.0,37.6,36556.0,20641.0
45653,4225.0,44.6,37909.0,23603.0
45654,989.0,33.9,38681.0,17858.0
45656,6704.0,38.8,38316.0,18920.0
45657,2640.0,31.5,28365.0,14538.0
45658,2612.0,32.4,29559.0,14152.0
45659,2742.0,42.9,38607.0,19938.0
45660,8149.0,42.3,36010.0,18623.0
45661,7483.0,42.1,36227.0,18936.0
45662,29643.0,38.5,29977.0,17931.0
45663,6366.0,39.0,34807.0,17237.0
